width (mm),length (mm),freq (Hz),Impedance Magnitude (Ohms),Capacitance (F),Impedance Phase (rad)
1,10,79.43282347242817,489644.90243594325,4.092324991677866E-9,-1.5588055751636192
1,10,89.12509381337459,436783.9240416602,4.088649541398929E-9,-1.5597701374611646
1,10,100,389571.9715678085,4.085587385065431E-9,-1.5607136803096104
1,10,112.20184543019641,347417.01276699494,4.08307481974256E-9,-1.5616192180081074
1,10,125.89254117941675,309787.28622401296,4.081046819916459E-9,-1.562475169161257
1,10,141.2537544622754,276205.04699629813,4.0794424201873255E-9,-1.5632744574600779
1,10,158.48931924611142,246241.2393991024,4.0782076345002824E-9,-1.5640135759669744
1,10,177.82794100389228,219510.7539863032,4.077297703179758E-9,-1.5646916870638674
1,10,199.52623149688807,195668.20186828225,4.076678041492745E-9,-1.5653098626931299
1,10,223.872113856834,174404.0594115739,4.076325082773432E-9,-1.5658704561984298
1,10,251.18864315095823,155441.1763594681,4.076226415596142E-9,-1.566376628170553
1,10,281.8382931264455,138531.55208013378,4.076381710321683E-9,-1.5668319771616541
1,10,316.22776601683796,123453.4204302114,4.0768032305649705E-9,-1.5672402855117542
1,10,354.81338923357566,110008.56120663205,4.077517729979758E-9,-1.5676053277183135
1,10,398.1071705534973,98019.87575927665,4.078568559393842E-9,-1.5679307479343185
1,10,446.6835921509635,87329.16787229646,4.080019615376875E-9,-1.5682199699507982
1,10,501.18723362727246,77795.1515932684,4.08196023055561E-9,-1.568476145944405
1,10,562.341325190349,69291.71388296422,4.084508277415923E-9,-1.5687021555377738
1,10,630.9573444801937,61706.030752520724,4.087834464449007E-9,-1.568900459980452
1,10,707.945784384138,54937.28255076134,4.0921693951429275E-9,-1.5690731381224574
1,10,794.3282347242822,48895.32137555488,4.097824596851236E-9,-1.569221903082021
1,10,891.2509381337459,43499.25760273073,4.105241799527205E-9,-1.5693479120771352
1,10,1000,38676.284660366204,4.1150562516475474E-9,-1.5694516421549982
