Bias,Left,Right
Done Init Model
2.7,1.28937,1.30938
2.7,1.28887,1.30899
2.7,1.28837,1.30861
2.7,1.28787,1.30823
2.7,1.28737,1.30785
2.7,1.28687,1.30747
2.7,1.28637,1.30708
2.7,1.28587,1.3067
2.7,1.28537,1.30632
2.7,1.28487,1.30594
2.7,1.28436,1.30556
2.7,1.28386,1.30517
2.7,1.28336,1.30479
2.7,1.28286,1.30441
2.7,1.28236,1.30403
2.7,1.28186,1.30365
2.7,1.28136,1.30326
2.7,1.28086,1.30288
2.7,1.28036,1.3025
2.7,1.27986,1.30212
2.7,1.27936,1.30174
2.7,1.27886,1.30135
2.7,1.27836,1.30097
2.7,1.27786,1.30059
2.7,1.27736,1.30021
2.7,1.27686,1.29983
2.7,1.27636,1.29944
2.7,1.27586,1.29906
2.7,1.27536,1.29868
2.7,1.27486,1.2983
2.7,1.27436,1.29792
2.7,1.27386,1.29753
2.7,1.27336,1.29715
2.7,1.27286,1.29677
2.7,1.27236,1.29639
2.7,1.27186,1.29601
2.7,1.27136,1.29562
2.7,1.27086,1.29524
2.7,1.27036,1.29486
2.7,1.26986,1.29448
2.7,1.26936,1.29409
2.7,1.26886,1.29371
2.7,1.26836,1.29333
2.7,1.26786,1.29295
2.7,1.26736,1.29257
2.7,1.26686,1.29218
2.7,1.26636,1.2918
2.7,1.26586,1.29142
2.7,1.26536,1.29104
2.7,1.26486,1.29065
2.7,1.26436,1.29027
2.7,1.26386,1.28989
2.7,1.26336,1.28951
2.7,1.26286,1.28913
2.7,1.26236,1.28874
2.7,1.26186,1.28836
2.7,1.26137,1.28798
2.7,1.26087,1.2876
2.7,1.26037,1.28721
2.7,1.25987,1.28683
2.7,1.25937,1.28645
2.7,1.25887,1.28607
2.7,1.25837,1.28568
2.7,1.25787,1.2853
2.7,1.25737,1.28492
2.7,1.25687,1.28454
2.7,1.25637,1.28416
2.7,1.25587,1.28377
2.7,1.25537,1.28339
2.7,1.25488,1.28301
2.7,1.25438,1.28263
2.7,1.25388,1.28224
2.7,1.25338,1.28186
2.7,1.25288,1.28148
2.7,1.25238,1.2811
2.7,1.25188,1.28071
2.7,1.25138,1.28033
2.7,1.25088,1.27995
2.7,1.25038,1.27957
2.7,1.24989,1.27918
2.7,1.24939,1.2788
2.7,1.24889,1.27842
2.7,1.24839,1.27804
2.7,1.24789,1.27765
2.7,1.24739,1.27727
2.7,1.24689,1.27689
2.7,1.24639,1.27651
2.7,1.2459,1.27612
2.7,1.2454,1.27574
2.7,1.2449,1.27536
2.7,1.2444,1.27498
2.7,1.2439,1.27459
2.7,1.2434,1.27421
2.7,1.2429,1.27383
2.7,1.24241,1.27345
2.7,1.24191,1.27306
2.7,1.24141,1.27268
2.7,1.24091,1.2723
2.7,1.24041,1.27192
2.7,1.23991,1.27153
2.7,1.23942,1.27115
2.7,1.23892,1.27077
2.7,1.23842,1.27039
2.7,1.23792,1.27
2.7,1.23742,1.26962
2.7,1.23692,1.26924
2.7,1.23643,1.26886
2.7,1.23593,1.26847
2.7,1.23543,1.26809
2.7,1.23493,1.26771
2.7,1.23443,1.26733
2.7,1.23393,1.26694
2.7,1.23344,1.26656
2.7,1.23294,1.26618
2.7,1.23244,1.2658
2.7,1.23194,1.26541
2.7,1.23144,1.26503
2.7,1.23095,1.26465
2.7,1.23045,1.26427
2.7,1.22995,1.26388
2.7,1.22945,1.2635
2.7,1.22896,1.26312
2.7,1.22846,1.26274
2.7,1.22796,1.26235
2.7,1.22746,1.26197
2.7,1.22696,1.26159
2.7,1.22647,1.2612
2.7,1.22597,1.26082
2.7,1.22547,1.26044
2.7,1.22497,1.26006
2.7,1.22448,1.25967
2.7,1.22398,1.25929
2.7,1.22348,1.25891
2.7,1.22298,1.25853
2.7,1.22249,1.25814
2.7,1.22199,1.25776
2.7,1.22149,1.25738
2.7,1.22099,1.257
2.7,1.2205,1.25661
2.7,1.22,1.25623
2.7,1.2195,1.25585
2.7,1.219,1.25546
2.7,1.21851,1.25508
2.7,1.21801,1.2547
2.7,1.21751,1.25432
2.7,1.21701,1.25393
2.7,1.21652,1.25355
2.7,1.21602,1.25317
2.7,1.21552,1.25279
2.7,1.21503,1.2524
2.7,1.21453,1.25202
2.7,1.21403,1.25164
2.7,1.21353,1.25126
2.7,1.21304,1.25087
2.7,1.21254,1.25049
2.7,1.21204,1.25011
2.7,1.21155,1.24972
2.7,1.21105,1.24934
2.7,1.21055,1.24896
2.7,1.21006,1.24858
2.7,1.20956,1.24819
2.7,1.20906,1.24781
2.7,1.20857,1.24743
2.7,1.20807,1.24705
2.7,1.20757,1.24666
2.7,1.20708,1.24628
2.7,1.2066,1.24592
2.7,1.20613,1.24556
2.7,1.20567,1.24521
2.7,1.20521,1.24487
2.7,1.20477,1.24454
2.7,1.20433,1.24422
2.7,1.2039,1.24391
2.7,1.20348,1.2436
2.7,1.20307,1.2433
2.7,1.20266,1.243
2.7,1.20226,1.24272
2.7,1.20187,1.24244
2.7,1.20148,1.24216
2.7,1.20109,1.24189
2.7,1.20071,1.24163
2.7,1.20034,1.24137
2.7,1.19997,1.24111
2.43,1.07965,1.11677
2.16,0.959397,0.992489
1.89,0.839223,0.868258
1.62,0.719122,0.744077
1.35,0.599094,0.619947
1.08,0.479137,0.495864
0.81,0.35925,0.37183
0.54,0.239432,0.247841
0.27,0.119682,0.123898
3.747e-16,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
0,0.01,0.01
