,length,wingLength,appliedElectricField,activeMaterialThickness,multiLayers,staticStrokeAmplitude,operatingFrequency,width,transmissionRatio,naturalFrequency,strokeAmplitude,netThrust,loadedDisplacement,liftableMass,totalMechanicalMass,appliedVoltage,intBulk,intCapacitance,intResistance,intInductance,averageCurrent,xt018-m0-mass,xt018-m0-area,xt018-m0-current,xt018-mem-mass,xt018-mem-area,xt018-mem-current,IMU-sensor-mass,IMU-sensor-area,IMU-sensor-current,total-additional-mass,total-additional-current,ccount,boost-frequency,inductance,boost-mass,vin,load,battery-mass,battery-alpha,runtime,runtime-new
193,0.007,0.009,600000.0,0.000127,1.0,30.0,400.0,0.0015649412208379,5242.391221467255,385.3528593710531,140.20901825787251,0.0,0.0004667925200942,0.3714376438261936,0.0680674313885909,76.2,3.944698441675906e-09,6.216260921590861e-10,1281.206,2.8946917816198163,0.0001438396186258,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,705809.5583644694,1.9e-06,0.12776,3.3740054187667043,0.0412651368649741,0.1354302124376027,0.2940307814613664,225.0124113158055,3.656004046342619
194,0.007,0.009,600000.0,0.000127,1.0,35.0,375.0,0.0018336066218975,6116.123091711797,351.11917342151344,138.23092545838242,0.0,0.0003944630840731,0.2957587058541172,0.0797530867407565,76.2,4.949242487590033e-09,8.022809980121895e-10,1141.0420268614948,2.0693417412147213,0.0001636141006183,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,1042251.6229651896,1.9e-06,0.12776,3.343217122133504,0.0451623896033539,0.0480656191133606,0.3131054991361702,77.70155831530866,1.262327084141174
195,0.007,0.0095,400000.0,0.000127,1.0,20.0,325.0,0.0012088577353653,5242.391221467255,319.92671377973846,118.93557185194068,0.0,0.0003959676488962,0.25763163111139,0.0525795089712642,50.8,3.2325314707307594e-09,5.523660738172431e-10,1281.206,2.9666704973732423,6.795661716923064e-05,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,529479.085676837,1.9e-06,0.12776,3.595886999992502,0.0131788607604428,0.0371121221401255,0.1173993888651471,77.08771296032302,1.2523546507193342
196,0.007,0.0095,400000.0,0.000127,1.0,20.0,375.0,0.0017081381145196,5242.391221467255,351.11917342151344,132.53077490115157,0.0,0.000441229638256,0.342714246548083,0.0742958089186568,50.8,4.447368458078758e-09,7.089149884005672e-10,1216.3231312881862,2.508825300747303,9.845496326416456e-05,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,454225.4934876125,1.9e-06,0.12776,3.5841305608446645,0.0146670176145994,0.1004784376294261,0.128946714124402,205.97890515574176,3.34640956116673
197,0.007,0.0095,400000.0,0.000127,1.0,20.0,400.0,0.0019890616808657,5242.391221467255,385.3528593710531,132.49898742095732,0.0,0.0004411238094144,0.4888045738551587,0.0865146356215899,50.8,5.571062723462818e-09,9.179611701377243e-10,1047.7689914805774,1.5248230879644622,0.0001335439689821,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,342849.191752515,1.9e-06,0.12776,3.561213824819059,0.0175678702760685,0.2343499382335687,0.1506088788495461,468.4656034922898,10.405032903660363
198,0.007,0.0095,400000.0,0.000127,1.0,25.0,375.0,0.0026835775796467,6552.989026834069,351.11917342151344,134.30221020611705,0.0,0.0003577017680334,0.3838437624357265,0.1167227435422532,50.8,8.121267125371576e-09,1.120136574574674e-09,950.0623227137608,1.2261867075269757,0.0001713348892861,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,892360.844417907,1.9e-06,0.12776,3.475227426795713,0.0284522244562388,0.0991810188934732,0.2231022030724133,181.3416671136868,2.946057707070925
199,0.007,0.0095,400000.0,0.000127,1.0,25.0,400.0,0.0031243785612114,6552.989026834069,385.3528593710531,135.4787991404889,0.0,0.0003608355060518,0.4166969432419483,0.1358954703956031,50.8,9.737537391108552e-09,1.2452594025283995e-09,891.2888585051436,1.0583194083909282,0.0002215481602594,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,725356.8574074473,1.9e-06,0.12776,3.443785000994084,0.0324322783551792,0.1128614728463451,0.2466144362556591,200.10970703397567,3.2510153759676066
200,0.007,0.0095,400000.0,0.000127,1.0,30.0,400.0,0.0045280543664481,7863.586832200882,385.3528593710531,137.56708642974564,0.0,0.000305331225026,0.4732764497955886,0.196948630279534,50.8,1.267092473289623e-08,1.1991733146506168e-09,482.7896900655657,1.111049814871461,0.0002780625244432,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,1118428.9641691844,1.9e-06,0.12776,3.338008782948105,0.0458216730445437,0.1083878195160545,0.3162308261660091,174.4195436105149,2.8335965358410515
201,0.007,0.0095,450000.0,0.000127,1.0,20.0,375.0,0.0013496399917192,4659.903307970893,351.11917342151344,132.53077490115166,0.0,0.000496383343038,0.3313442385683131,0.0587028613678275,57.15,3.51409598343852e-09,5.797489265893543e-10,1281.206,2.938212772073869,8.942191917200771e-05,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,339089.23722609825,1.9e-06,0.12776,3.560118220073373,0.017706554421092,0.1047013772004854,0.1516175508110103,209.04954100073775,3.396326985483642
202,0.007,0.0095,450000.0,0.000127,1.0,20.0,400.0,0.0015716042910543,4659.903307970893,385.3528593710531,132.49898742095743,0.0,0.0004962642855912,0.5011939748295124,0.0683572429602686,57.15,3.9580245821087684e-09,6.22922092631533e-10,1281.206,2.8933449086062666,0.0001082021980734,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,802295.2868970209,1.9e-06,0.12776,3.4586227828056435,0.0305540781258679,0.2648967318692438,0.2356988404808346,476.48174577589054,10.952684320297074
