width (mm),length (mm),frequency (Hz),admittance (S),phase (rad)
1,1,57.543993733715695,1.516083830393336E-7,1.5442380584881987
1,1,58.8843655355589,1.5513979598627846E-7,1.5442380584938495
1,1,60.25595860743578,1.587534661113623E-7,1.544238058499762
1,1,61.65950018614822,1.6245130943068368E-7,1.544238058505953
1,1,63.09573444801933,1.6623528659016977E-7,1.544238058512445
1,1,64.56542290346556,1.701074039047586E-7,1.544238058519224
1,1,66.06934480075961,1.7406971442304475E-7,1.5442380585263413
1,1,67.60829753919819,1.781243190147886E-7,1.544238058533791
1,1,69.18309709189366,1.8227336748548256E-7,1.544238058541589
1,1,70.79457843841381,1.8651905971536645E-7,1.5442380585496804
1,1,72.44359600749902,1.9086364682836336E-7,1.5442380585581992
1,1,74.13102413009177,1.9530943238253998E-7,1.5442380585671487
1,1,75.8577575029184,1.998587735925539E-7,1.5442380585765156
1,1,77.6247116628692,2.0451408258003102E-7,1.544238058586322
1,1,79.43282347242817,2.0927782765232213E-7,1.544238058596603
1,1,81.28305161640995,2.1415253461071483E-7,1.5442380586073623
1,1,83.17637711026708,2.1914078809023361E-7,1.5442380586186253
1,1,85.11380382023764,2.2424523292978354E-7,1.5442380586304134
1,1,87.09635899560806,2.2946857557474594E-7,1.5442380586427709
1,1,89.12509381337455,2.3481358551146298E-7,1.544238058655709
1,1,91.20108393559097,2.4028309673623637E-7,1.5442380586692726
1,1,93.3254300796991,2.458800092572486E-7,1.5442380586834668
1,1,95.49925860214358,2.5160729063303646E-7,1.5442380586983373
1,1,97.72372209558107,2.574679775453675E-7,1.5442380587139113
1,1,100,2.6346517740929367E-7,1.5442380587302094
1,1,102.32929922807547,2.6960207002202717E-7,1.5442380587473308
1,1,104.71285480508996,2.758819092452658E-7,1.5442380587651914
1,1,107.1519305237607,2.8230802473614926E-7,1.5442380587839308
1,1,109.64781961431851,2.888838237070411E-7,1.5442380588035152
1,1,112.2018454301963,2.9561279273629514E-7,1.54423805882403
1,1,114.81536214968828,3.0249849961427827E-7,1.544238058845497
1,1,117.48975549395291,3.0954459523653866E-7,1.5442380588679776
1,1,120.22644346174131,3.1675481553905486E-7,1.5442380588915374
1,1,123.02687708123811,3.241329834783494E-7,1.544238058916195
1,1,125.89254117941675,3.316830110598485E-7,1.5442380589420168
1,1,128.82495516931337,3.3940890141128805E-7,1.5442380589690567
1,1,131.82567385564073,3.473147509050787E-7,1.5442380589973579
1,1,134.89628825916532,3.554047513314354E-7,1.544238059027013
1,1,138.03842646028852,3.636831921190146E-7,1.544238059058053
1,1,141.2537544622754,3.7215446261111627E-7,1.5442380590905602
1,1,144.5439770745928,3.8082305439168736E-7,1.5442380591245906
1,1,147.91083881682073,3.896935636679541E-7,1.5442380591602367
1,1,151.35612484362088,3.987706937062249E-7,1.5442380591975613
1,1,154.88166189124811,4.080592573261747E-7,1.54423805923663
1,1,158.48931924611142,4.1756417945371696E-7,1.5442380592775589
1,1,162.18100973589299,4.272904997302514E-7,1.5442380593204152
1,1,165.95869074375614,4.3724337518591656E-7,1.5442380593652765
