,length,wingLength,appliedElectricField,activeMaterialThickness,multiLayers,staticStrokeAmplitude,operatingFrequency,width,transmissionRatio,naturalFrequency,strokeAmplitude,netThrust,loadedDisplacement,liftableMass,totalMechanicalMass,appliedVoltage,intBulk,intCapacitance,intResistance,intInductance,averageCurrent,xt018-m0-mass,xt018-m0-area,xt018-m0-current,xt018-mem-mass,xt018-mem-area,xt018-mem-current,IMU-sensor-mass,IMU-sensor-area,IMU-sensor-current,total-additional-mass,total-additional-current,cp-frequency,cp-capacitance,N,M,cp-area,cp-mass,vin,load,battery-mass,battery-alpha,runtime,ccount,runtime-new
389,0.011,0.011,550000.0,0.000127,1.0,30.0,300.0,0.0019072877534058,2315.9474366812515,265.6087782946687,161.00674232021203,0.0,0.0012133685449375,0.7345495901905,0.1303623550301861,69.85,8.582708767029082e-09,1.218239089036737e-09,845.2048986376733,5.76541931492012,0.000191038698573,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,1.115435897467025e-09,32.0,4.0,,0.1631960729496515,3.4425852147058214,0.0325841500372377,0.4049411622106623,0.2474834644911046,717.1551490593538,1.0,61.498164580112366
390,0.011,0.011,550000.0,0.000127,1.0,35.0,250.0,0.0015145371874681,2701.938676128126,220.5130739903045,131.5127892193018,0.0,0.0008495126853313,0.2724224225931098,0.1035180109485714,69.85,6.618955937340632e-09,1.0514336034267755e-09,1002.3051250127496,7.863897371242177,0.0001271713747894,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,6.49526988095524e-10,32.0,4.0,,0.095030341028753,3.5400076932116464,0.0202521907327029,0.0378240706157852,0.1697158809769084,73.90947977147,1.0,1.2007215828505382
391,0.011,0.011,550000.0,0.000127,1.0,35.0,275.0,0.0019952935326232,2701.938676128126,242.0128264794384,146.87490212437274,0.0,0.0009487449338739,0.4242487475392918,0.1363775148373875,69.85,9.022737663116356e-09,1.2556161115339623e-09,810.0025869506915,5.295201796387882,0.000182836752355,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,1.0466115259328356e-09,32.0,4.0,,0.1531265860494063,3.456195128661796,0.0308613761187599,0.0986946466524978,0.2375063650432336,177.10669052484386,1.0,2.877253167415681
392,0.011,0.011,600000.0,0.000127,1.0,25.0,300.0,0.0011050791485689,1769.126514131512,265.6087782946687,159.29654702006243,0.0,0.0015715378240899,0.6840144584569958,0.0755317177730291,76.2,4.9665865942758494e-09,7.51383492536959e-10,1245.0725108586223,9.324875063141551,0.0001255961023267,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,7.782807446272385e-10,36.0,4.0,,0.1281014056001878,3.496911176494748,0.0257074460133231,0.4443313350837787,0.2060135425678219,830.2811632669834,1.0,115.93604079616543
393,0.011,0.011,600000.0,0.000127,1.0,25.0,325.0,0.0014683019937153,1769.126514131512,291.5053062825179,162.2079442689296,0.0,0.0016002601723337,0.8894486713520433,0.1003578539496442,76.2,6.4194779748612545e-09,1.021671777301319e-09,1027.1388037708116,8.052599874533623,0.0001754856359444,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,1.2394944740238675e-09,36.0,4.0,,0.2040150491352216,3.3956973720605204,0.0385193199923392,0.5490257682671775,0.2799428230433564,930.3896282384916,1.0,179.74997680222222
394,0.011,0.011,600000.0,0.000127,1.0,30.0,275.0,0.0012209207174006,2122.951816957814,242.0128264794384,145.64631051929044,0.0,0.0011973930079988,0.4383443836461633,0.0834494426660442,76.2,5.429952869602412e-09,8.37585721725767e-10,1175.567569559638,8.919112166332212,0.0001254188074796,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,7.768727979835236e-10,36.0,4.0,,0.1278696641041852,3.497239646514151,0.0256658675298542,0.1909752768759337,0.2057488978020431,356.97690762535206,1.0,6.016944739713934
395,0.011,0.011,600000.0,0.000127,1.0,30.0,300.0,0.0016026515150146,2122.951816957814,265.6087782946687,161.0067423202122,0.0,0.0013236747762955,0.71472349541111,0.1095405899906426,76.2,7.059527575073055e-09,1.0888567275933703e-09,967.0593939941556,7.393099875731483,0.0001749772020723,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,1.2339504686985046e-09,36.0,4.0,,0.2031025315382791,3.396842836289228,0.038374324520351,0.3660303738821882,0.2791832491373501,620.9364359106743,1.0,31.64529139253126
396,0.011,0.011,600000.0,0.000127,1.0,35.0,250.0,0.0012726319422475,2476.7771197841166,220.5130739903045,131.5127892193018,0.0,0.0009267411112705,0.282289104118689,0.0869838841998413,76.2,5.636797768990092e-09,8.760660608721291e-10,1144.5408346514862,8.737981190611912,0.0001192232884215,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,7.284591815492467e-10,36.0,4.0,,0.1199010070890491,3.508611665299168,0.024226371481118,0.0393542128297985,0.1964765308120417,74.42090459592588,1.0,1.2090301087206765
397,0.011,0.0115,400000.0,0.000127,1.0,20.0,250.0,0.0011301627900425,2122.951816957814,220.5130739903045,125.75405288844212,0.0,0.0010338540201894,0.2679982452085439,0.0772461746342911,50.8,5.066921160170133e-09,7.700492084194608e-10,1230.0223259744798,9.237013588806416,7.188705509540384e-05,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,6.991650884133757e-10,22.0,2.0,,0.0205228219845638,3.596684114563604,0.0130779601818223,0.1341792485896888,0.1166053598303922,278.9621387024105,1.0,4.543539012717625
398,0.011,0.0115,400000.0,0.000127,1.0,20.0,275.0,0.0014827008680387,2122.951816957814,242.0128264794384,141.95056202154856,0.0,0.0011670093793662,0.5173374972898787,0.1013420112500996,50.8,6.477073472154898e-09,1.0323865412414683e-09,1018.4994791767652,8.002164361486038,9.894286004518937e-05,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1000000.0,1.0192861244355714e-08,22.0,2.0,,0.2991943967139175,3.552739019315331,0.0186406304664137,0.0807510893258613,0.1583493248375073,159.95043088023627,1.0,2.598529809785518
